CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.06.02;Receitas Financeiras;285053.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.06.03;Outros;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.06.03;Outros;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.07;Valor Adicionado Total a Distribuir;4397077.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.07;Valor Adicionado Total a Distribuir;-2229714.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08;Distribuição do Valor Adicionado;4397077.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08;Distribuição do Valor Adicionado;-2229714.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.01;Pessoal;2303631.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.01;Pessoal;2022679.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.01.01;Remuneração Direta;1598379.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.01.01;Remuneração Direta;1394579.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.01.02;Benefícios;149402.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.01.02;Benefícios;134850.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.01.03;F.G.T.S.;555850.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.01.03;F.G.T.S.;493250.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.01.04;Outros;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.01.04;Outros;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.02;Impostos, Taxas e Contribuições;-14975.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.02;Impostos, Taxas e Contribuições;-105730.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.02.01;Federais;-26538.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.02.01;Federais;-119679.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.02.02;Estaduais;685.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.02.02;Estaduais;10022.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.08.02.03;Municipais;10878.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.08.02.03;Municipais;3927.0000000000;S
